,Title,Authors,Abstract,Published Date,Journal Title,Volume,Pages,Link
180,Differential Access to Capital from Financial Institutions by Minority Entrepreneurs,Darius Palia,"This article examines whether minority small business borrowers have the same access to loans from financial institutions as similar white borrowers. Using matching methods, I find that African-American borrowers are rejected at an approximately 30 percent higher probability than similar white borrowers. I also find that the impact of unobservable variables has to be greater than 85 percent the impact of observable variables to show no discrimination. This bound seems to be a high number given that I have controlled for a large number of borrower, firm, and lender characteristics. No such differential effect is found for Asian and other minority borrowers. I also find equal expected default losses between African-American and white borrowers. These results are consistent with the information-based, laissez faire, and group hoarding theories of discrimination, and against the taste-based theory of discrimination.",17 November 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 4", 756-785,https://onlinelibrary.wiley.com/doi/10.1111/jels.12132
181,Formal and Social Enforcement in Response to Individual Versus Corporate Transgressions,"Uriel Haran, Doron Teichman, Yuval Feldman","Social enforcement of norms governing appropriate business practices, through online and social networks, is regarded as an effective alternative to formal, state-sponsored enforcement. However, recent research finds that such norms are interpreted differently when applied to individual actors than when applied to corporations. This article finds that this difference transcends to enforcement, and that willingness to actively respond to a transgression depends on both the transgressor's identity and the type of violation. Three studies found that people are reluctant to substitute social enforcement for state-sponsored action, and that the preference for formal over social action was generally more pronounced when the target of the action was an individual than when the action targeted a corporation. Furthermore, individuals were judged more severely for intentional harms, whereas corporations received higher levels of critique for violations caused by negligent behavior. Our findings suggest that the state may need to exercise caution in outsourcing norm enforcement in commercial relationships.",17 November 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 4", 786-808,https://onlinelibrary.wiley.com/doi/10.1111/jels.12133
182,Homeowner Representation in the Foreclosure Crisis,Emily S. Taylor Poppe,"The dramatic increase in the number of homeowners entering the foreclosure process over the past decade has been well documented. While some of these cases end in foreclosure, many homeowners are able to secure alternate outcomes. There is reason to believe that legal representation may help homeowners to achieve more favorable outcomes. However, other aspects of the foreclosure process, particularly those instituted to increase court oversight and homeowner participation, may circumscribe the benefits of legal representation. In this article, I investigate whether homeowners with legal representation are more likely to avoid foreclosure than those who are unrepresented, taking into account procedural reforms that might shape the effectiveness of legal representation. Using a representative sample of residential foreclosure cases initiated in New York City between 2007 and 2011, I find that cases where the homeowner has legal representation less frequently end in foreclosure. However, after accounting for the enactment of reforms to the foreclosure process, the probability of foreclosure is not significantly different for cases where the homeowner has legal representation. The results suggest that the characteristics of the foreclosure process may be consequential for the resolution of foreclosure cases and the benefit of legal representation. This research contributes to scholarship on the use and effect of lawyers by considering the role of legal representation for homeowners facing foreclosure in the context of the rapid social and economic changes of the Great Recession.",17 November 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 4", 809-836,https://onlinelibrary.wiley.com/doi/10.1111/jels.12134
183,Issue Information - TOC,,,08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 393-393,https://onlinelibrary.wiley.com/doi/10.1111/jels.12107
184,Issue Information - Ed Board,,,08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 394-394,https://onlinelibrary.wiley.com/doi/10.1111/jels.12108
185,Issue Information - Copyright,,,08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 395-395,https://onlinelibrary.wiley.com/doi/10.1111/jels.12109
186,Rigidity of Public Contracts,"Marian Moszoro, Pablo T. Spiller, Sebastian Stolorz","We apply algorithmic data reading and textual analysis to compare the features of contracts in regulated industries subject to public scrutiny (which we call “public contracts”) with contracts between nongovernmental entities. We show that public contracts are lengthier and have more rule-based rigid clauses; in addition, their renegotiation is formalized in amendments. We also find that contract length and the frequency of rigidity clauses increases in political contestability and closer to upcoming elections. We maintain that the higher rigidity of public contracts is a political risk adaptation strategy carried out by public agents to lower the likelihood of success of politically-motivated challenges from opportunistic third parties.",08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 396-427,https://onlinelibrary.wiley.com/doi/10.1111/jels.12119
187,Academic Tenure,Albert H. Yoon,"In academia, a subset of faculty has tenure, which allows its beneficiaries to retain their professorships without mandatory retirement and with only limited grounds for revocation. Proponents of tenure argue it protects intellectual freedom and encourages investment in human capital. Detractors contend it discourages effort and distorts the academic labor market. This article develops a framework for examining academic tenure in the context of U.S. law schools. We construct a unique data set of tenured U.S. law professors who began their careers between 1993 through 2002, and follow their employment and scholarship for the first 10 years of their career. Across all journal publications, tenured faculty publish more frequently, are cited with roughly the same frequency, and place in comparable caliber of journal. These productivity gains, however, largely disappear when excluding solicited publications. These results suggest that legal academics continue to produce after tenure, but channel more of their efforts toward less competitive outlets.",08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 428-453,https://onlinelibrary.wiley.com/doi/10.1111/jels.12120
188,"Across Five Eras: Patent Validity and Infringement Rates in U.S. Courts, 1929–2006","Matthew D. Henry, John L. Turner","We use structural break analysis to estimate rates of patent validity and infringement in decisions on the merits in U.S. courts over 1929–2006. We separately estimate these rates for district court and appeals court decisions. We find multiple structural breaks in both validity and infringement, and the breaks do not coincide. The rate of validity falls around 1939 and rises around 1983, while the rate of infringement rises around 1950 and falls around 1991. We argue that these breaks, and the variation across the implied five “eras” of decision standards, reflect political and legal innovations.",08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 454-486,https://onlinelibrary.wiley.com/doi/10.1111/jels.12121
189,Nuclear Power and the Mob: Extortion in Japan,J. Mark Ramseyer,"Nuclear reactors entail massive nontransferrable site-specific investments. The resulting appropriable quasi-rents offer the mob a lucrative target. In exchange for large fees, it can either promise to “protect” the utility (and silence the reactor's local opponents) or “extort” from it (and desist from inciting those opponents). Using prefecture-level Japanese panel data covering the years 1980 to 2010, I find that extortion rates rise when a utility announces plans to build a reactor. The evidence is consistent with a straightforward account: once news about a utility's plans to build a new reactor leaks, the mob moves in to appropriate the large quasi-rents from the utility, and stays to do what it does everywhere else—extort regular payments from local businesses.",08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 487-515,https://onlinelibrary.wiley.com/doi/10.1111/jels.12122
190,Revisiting Eisenberg and Plaintiff Success: State Court Civil Trial and Appellate Outcomes,"Michael Heise, Martin T. Wells","Despite what Priest-Klein theory predicts, in earlier research on federal civil cases, Eisenberg found an association between plaintiff success in pretrial motions and at trial. Our extension of Eisenberg's analysis 20 years later into the state court context, however, does not uncover any statistically significant association between a plaintiff's success at trial and preserving that trial victory on appeal. Our results imply that a plaintiff's decision to pursue litigation to a trial court conclusion is analytically distinct from the plaintiff's decision to defend an appeal of its trial court win brought by a disgruntled defendant. We consider various factors that likely account for the observed differences that distinguish our results from Eisenberg's. First, legal cases that persist to an appellate outcome are a filtered subset of underlying trials and legal disputes and various selection effects inform much of this case filtering. Second, where Eisenberg analyzed the relation between pretrial motions and trial outcomes in federal courts, we assess possible relations between trial and appellate court outcomes in state courts. The pretrial and trial context and the trial and appeals context likely differ in ways that disturb plaintiff success. Third, while Eisenberg studied federal cases between 1978–1985 we study state cases between 2001–2009. In addition to differences between federal and state civil cases, the composition of cases that selected into formal litigation may have evolved over time.",08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 516-535,https://onlinelibrary.wiley.com/doi/10.1111/jels.12123
191,"He Paid, She Paid: Exploiting Israeli Courts' Rulings on Litigation Costs to Explore Gender Biases","Talia Fisher, Tamar Kricheli-Katz, Issi Rosen-Zvi, Theodore Eisenberg","This study documents gender disparities in litigation-cost rulings in Israel. It expands on the existing literature on judicial bias in at least two important ways: by controlling for the merits of the cases and by focusing on civil litigation. The first improvement is methodological. The unique Israeli regime of litigation costs allows us to control for the merit of the cases, as well as for other typically unobservable variables, and thus to isolate and observe judicial bias. The second improvement on the existing literature on judicial bias involves focusing on outcome disparities in the civil (rather than criminal) justice system. Although numerous studies explore gender-based disparities in the criminal justice sphere, only a very small number of studies explore such disparities in the civil arena. We found clear disparities in the allocation of litigation costs between men and women. Male plaintiffs who lost were ordered to pay the winners' legal fees more often than were losing women as sole plaintiffs or as part of all-women plaintiff groups. Likewise, the fees women plaintiffs who lost a case were obliged to pay were less than those required of losing men, and women defendants who won cases received higher fee awards than similarly situated men.",08 August 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 3", 536-561,https://onlinelibrary.wiley.com/doi/10.1111/jels.12124
192,Issue Information - TOC,,,11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 179-179,https://onlinelibrary.wiley.com/doi/10.1111/jels.12104
193,Issue Information - Ed Board,,,11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 180-180,https://onlinelibrary.wiley.com/doi/10.1111/jels.12105
194,Issue Information - Copyright,,,11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 181-181,https://onlinelibrary.wiley.com/doi/10.1111/jels.12106
195,"Insurance Crisis or Liability Crisis? Medical Malpractice Claiming in Illinois, 1980–2010","Mohammad Rahmati, David A. Hyman, Bernard Black, Charles Silver","Since 1980, Illinois has experienced three medical malpractice insurance crises—in the mid-1980s, mid-1990s, and early-2000s. Each time, Illinois responded by enacting tort reform. Using a previously unavailable database of closed medical malpractice (med mal) claims, maintained by the Illinois Department of Insurance, we analyze statewide trends in med mal claiming from 1980–2010, covering all three crises. Paid claim rates rose sharply from 1980–1985, roughly leveled off from 1986–1993, and then began a sustained decline. By 2010, paid claims rates were 75 percent lower than in the peak year (1991). Payout per claim has steadily increased since 1980, but these increases can be entirely explained by the virtual disappearance of smaller paid claims and claims involving less severe injuries. The total direct cost of med mal litigation (payouts and defense costs) rose sharply from 1980–1992, with a jump in 1991, and then declined steadily, with a more modest jump during 2000–2002, which persisted through 2006. Thus, of the three Illinois insurance crises, only the first coincided in time with a major change in claiming. Rather than becoming more generous over time, the Illinois med mal system has squeezed out claimants with less severe injuries and smaller claims.",11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 183-204,https://onlinelibrary.wiley.com/doi/10.1111/jels.12113
196,What Predicts Law Student Success? A Longitudinal Study Correlating Law Student Applicant Data and Law School Outcomes,"Alexia Brunet Marks, Scott A. Moss","Despite the rise of “big data” empiricism, law school admission remains heavily impressionistic; admission decisions rely on anecdotes about recent students, idiosyncratic preferences for certain majors or jobs, or mainly the Law School Admission Test (LSAT). Yet no predictors are well-validated and studies of the LSAT or other factors fail to control for other factors. The lack of evidence for what actually predicts law school success is especially surprising since, after the 2010s downturn, law schools now compete for fewer applicants. We fill this gap with a two-school, 1,400-student, 2005–2011 longitudinal study. We coded nondigitized applicant data and used multivariate regression analysis to predict law school grades (LGPA) from many variables: LSAT; college grades (UGPA), quality, and major; UGPA trajectory; employment duration and type (legal, scientific, military, teaching, etc.); college leadership; prior graduate degree; criminal or disciplinary record; and variable interactions (e.g., high-LSAT/low-UGPA or vice-versa). Our results include new findings about how to balance LSAT and UGPA, plus the first findings that college quality, major, work experience, and other traits are significant predictors of law student grades, controlling for other factors: (1) LSAT predicts more weakly, and UGPA more powerfully, than commonly assumed—and a high-LSAT/low-UGPA profile may predict worse than the opposite; (2) a STEM (science, technology, engineering, math) or EAF (economics, accounting, finance) major is a significant plus, akin to three and a half to four extra LSAT points; (3) several years’ work experience is a significant plus, with teaching especially positive and military the weakest; (4) a criminal or disciplinary record is a significant minus, akin to seven and a half fewer LSAT points; and (5) long-noted gender disparities seem to have abated, but racial disparities persist. Some predictors were interestingly nonlinear: college quality has decreasing returns; UGPA has increasing returns; a rising UGPA is a plus only for law students right out of college; and four to nine years of work is a “sweet spot.” Certain groups—those with military or public-sector work, or a criminal/disciplinary record—have high LGPA variance, indicating a mix of high and low performers requiring close scrutiny. Many traditionally valued traits had no predictive value: typical prelaw majors (political science, history, etc.); legal or public-sector work; or college leadership. These findings can help identify who can outperform traditional predictors like the LSAT. Several caveats are explained in the article, however, because statistical models cannot capture certain difficult-to-code key traits: some who project to have weak grades retain appealing lawyering or leadership potential; and many will over- or underperform any projection. Thus, admissions will always be both art and science—but perhaps with a bit more science.",11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 205-265,https://onlinelibrary.wiley.com/doi/10.1111/jels.12114
197,Carrot or Stick? The Shift from Voluntary to Mandatory Disclosure of Risk Factors,"Karen K. Nelson, A. C. Pritchard","This study investigates risk factor disclosures, examining both the voluntary, incentive-based disclosure regime provided by the safe harbor provision of the Private Securities Litigation Reform Act as well as the SEC's subsequent mandate of these disclosures. Firms subject to greater litigation risk disclose more risk factors, update the language more from year to year, and use more readable language than firms with lower litigation risk. These differences in the quality of disclosure are pronounced in the voluntary disclosure regime, but converge following the SEC mandate as low-risk firms improved the quality of their risk factor disclosures. Consistent with these findings, the risk factor disclosures of high-litigation-risk firms are significantly more informative about systematic and idiosyncratic firm risk when disclosure is voluntary but not when disclosure is mandatory. Overall, the results suggest that for some firms voluntary disclosure of risk factors is not a substitute for a regulatory mandate.",11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 266-297,https://onlinelibrary.wiley.com/doi/10.1111/jels.12115
198,Anchoring Legal Standards,"Yuval Feldman, Amos Schurr, Doron Teichman","This article presents the first empirical study on whether anchors influence the interpretation of vague legal standards. To test this question, the article presents a series of stylized experiments that measure and compare participants’ interpretation of a vague norm after they were exposed to anchors. Overall, the results suggest that the content of substantive legal rules might be altered by anchors. This effect is documented in numerous legal settings (e.g., torts, corporate, copyright) and across both expert (i.e., experienced lawyers) and nonexpert (i.e., students) populations. Furthermore, the effect is shown to exist both when participants express judgments on a numeric scale and when they make dichotomous judgments that are detached from that scale. Based on these findings, the article revisits several long-standing legal debates and reevaluates their conclusions.",11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 298-329,https://onlinelibrary.wiley.com/doi/10.1111/jels.12116
199,The Appeals Process in the European Commission's Cartel Cases: An Empirical Assessment,"Kai Hüschelrath, Florian Smuda","The appeals process is an important mechanism to correct legal errors and to improve existing laws and regulations. We use the data of 467 firm groups that participated in 88 cartels convicted by the European Commission between 2000 and 2012 to study both the characteristics of firm groups filing an appeal and the factors that determine their successfulness in terms of fine reduction. Applying a discrete choice and a two-stage hurdle model, we find that while some characteristics—particularly the reform of the fine guidelines—only affect the probability of filing an appeal, other factors, such as the size of the fine imposed, in connection with characteristics such as ringleader, repeat offender, or leniency applicant, influence both the probability and the success of an appeal. We build on these results to derive conclusions for both firms and public policymakers.",11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 330-357,https://onlinelibrary.wiley.com/doi/10.1111/jels.12117
200,Testing the Expressive Theory of Punishment,Kenworthey Bilz,"This article presents empirical support for the argument that punishment of a wrongdoer affects the social standing of the victim. This argument is most closely associated with the expressive theory of punishment, especially as articulated by the moral philosopher Jean Hampton (Murphy & Hampton 1988; Hampton 1992). In three experiments I show support for the basic point of Hampton's expressive theory, that punishing a criminal offender does increase the victim's social standing in the community, and failing to punish diminishes it. I show this effect across three very different types of crime: rape, credit theft, and battery. I also test some logical extensions of Hampton's expressive theory of punishment. For instance, if victims gain or lose social standing as a result of punishing, so—inversely—should offenders. In addition, different punishers should affect different sources of social standing (such as ingroup vs. outgroup standing). Finally, the effects on perceived social standing should be felt not just by victims, but by third-party observers as well. I find support for these subsidiary predictions.",11 May 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 2", 358-392,https://onlinelibrary.wiley.com/doi/10.1111/jels.12118
201,Judicial Retirements and the Staying Power of U.S. Supreme Court Decisions,"Stuart Minor Benjamin, Georg Vanberg","The influence of U.S. Supreme Court majority opinions depends critically on how these opinions are received and treated by lower courts, which decide the vast majority of legal disputes. We argue that the retirement of justices on the Supreme Court serves as a simple heuristic device for lower court judges in deciding how much deference to show to Supreme Court precedent. Using a unique data set of the treatment of all Supreme Court majority opinions in the courts of appeals from 1953 to 2012, we find that negative treatments of Supreme Court opinions increase, and positive treatments decrease, as the justices who supported a decision retire from the Court. Importantly, this effect exists over and above the impact of retirements on the ideological makeup of the Supreme Court.",08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 5-26,https://onlinelibrary.wiley.com/doi/10.1111/jels.12095
202,SEC Investigations and Securities Class Actions: An Empirical Comparison,"Stephen J. Choi, A. C. Pritchard","Using actions with both an SEC investigation and a class action as our baseline, we compare the targeting of SEC-only investigations with class-action-only lawsuits. Looking at measures of information asymmetry, we find that investors in the market perceive greater information asymmetry following the public announcement of the underlying violation for class-action-only lawsuits compared with SEC-only investigations. Turning to sanctions, we find that the incidence of top officer resignation is greater for class-action-only lawsuits relative to SEC-only investigations. Our findings are consistent with the private enforcement targeting disclosure violations at least as precisely as (if not more so than) SEC enforcement.",08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 27-49,https://onlinelibrary.wiley.com/doi/10.1111/jels.12096
203,Apples and Oranges: An International Comparison of the Public's Experience of Justiciable Problems and the Methodological Issues Affecting Comparative Study,"P. Pleasence, N. J. Balmer, R. L. Sandefur","Since the mid-1990s, at least 28 large-scale national surveys of the public's experience of justiciable problems have been conducted in at least 15 separate jurisdictions, reflecting widespread legal aid reform activity. While the majority of these surveys take their structure from Genn's Paths to Justice survey (1999), they vary significantly in length, scope, mode of administration, types of problems included, survey reference period, data structure, data analysis, and question formulation. This article draws on surveys from across the world, contrasting their methodologies, comparing their headline findings, and setting out the potential for bias as a consequence of methodological variation. The article also presents findings from five online experiments testing the impact of various question formulations on problem prevalence, use of advice, and formal processes. Specifically, the experiments test whether varying the reference period, describing problems as “legal,” offering detailed as opposed to simple problem descriptions, and describing problems as “difficult to solve” had an impact on reported prevalence of justiciable problems, and whether presenting lists as opposed to a series of individual questions had an impact on reported use of advice and processes. The experiments demonstrated that modest differences in question formulation yield significantly different results. Specifically, alteration of survey reference period did not result in a proportional change in reported problem prevalence, introducing problems as either “legal” or “difficult to solve” significantly reduced reported prevalence, and introducing use of advice/processes as multiple questions rather than as lists significantly increased reported use. The risks involved in comparative analysis (and particularly in looking beyond methodology when attempting to explain jurisdictional variation) are discussed. In relation to future studies, the importance of understanding the impact of methodological change, learning the lessons of the past, making technical details transparent, and making data available are highlighted.",08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 50-93,https://onlinelibrary.wiley.com/doi/10.1111/jels.12097
204,Forecasting Domestic Violence: A Machine Learning Approach to Help Inform Arraignment Decisions,"Richard A. Berk, Susan B. Sorenson, Geoffrey Barnes","Arguably the most important decision at an arraignment is whether to release an offender until the date of his or her next scheduled court appearance. Under the Bail Reform Act of 1984, threats to public safety can be a key factor in that decision. Implicitly, a forecast of “future dangerousness” is required. In this article, we consider in particular whether usefully accurate forecasts of domestic violence can be obtained. We apply machine learning to data on over 28,000 arraignment cases from a major metropolitan area in which an offender faces domestic violence charges. One of three possible post-arraignment outcomes is forecasted within two years: (1) a domestic violence arrest associated with a physical injury, (2) a domestic violence arrest not associated with a physical injury, and (3) no arrests for domestic violence. We incorporate asymmetric costs for different kinds of forecasting errors so that very strong statistical evidence is required before an offender is forecasted to be a good risk. When an out-of-sample forecast of no post-arraignment domestic violence arrests within two years is made, it is correct about 90 percent of the time. Under current practice within the jurisdiction studied, approximately 20 percent of those released after an arraignment for domestic violence are arrested within two years for a new domestic violence offense. If magistrates used the methods we have developed and released only offenders forecasted not to be arrested for domestic violence within two years after an arraignment, as few as 10 percent might be arrested. The failure rate could be cut nearly in half. Over a typical 24-month period in the jurisdiction studied, well over 2,000 post-arraignment arrests for domestic violence perhaps could be averted.",08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 94-115,https://onlinelibrary.wiley.com/doi/10.1111/jels.12098
205,Unpacking Negligence Liability: Experimentally Testing the Governance Effect,"Theodore Eisenberg, Christoph Engel","Arguably, if a court holds a defendant liable for negligently inflicting harm on the plaintiff, this intervention combines three effects: (1) the court specifies the normative expectation, (2) the court expresses dissatisfaction with the plaintiff's behavior, for example, her level of activity, and (3) the court obliges the defendant to compensate the plaintiff. In the field, it would be close to impossible to disentangle the three effects, or to investigate how they interact with intrinsic reticence to inflict harm on a passive outsider. We therefore go to the lab. We do not find an effect of intrinsic morality. However, the intervention has a separate significant effect on each of the three channels.",08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 116-152,https://onlinelibrary.wiley.com/doi/10.1111/jels.12099
206,Does the Chief Justice Make Partisan Appointments to Special Courts and Panels?,Maxwell Palmer,"The Chief Justice of the Supreme Court has the exclusive and independent power to appoint federal judges to various special courts and panels, including the Foreign Intelligence Surveillance Court (FISC), the court that oversees all domestic surveillance for national security, including domestic data collection by the National Security Agency (NSA). This article examines the propensity of Chief Justices to appoint co-partisan judges to these panels. Such appointments may serve to produce decisions and policies that align with the Chief Justice's preferences. I use computational simulations to model the appointment decisions made by Chief Justices. I find that there is less than a 1 percent chance that a neutral Chief Justice would appoint as many Republicans to the FISC as have been appointed in the last 36 years. I further show that the Chief Justice is not selecting appointees on other observable judicial characteristics, such as age, experience, gender, senior status, or caseload. These results have important implications for the creation of judicial institutions, the internal politics of the judiciary, legislative delegation, and the powers and oversight of the national security state.",08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 153-177,https://onlinelibrary.wiley.com/doi/10.1111/jels.12100
207,Issue Information - TOC,,,08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 1-1,https://onlinelibrary.wiley.com/doi/10.1111/jels.12101
208,Issue Information - Ed Board,,,08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 2-2,https://onlinelibrary.wiley.com/doi/10.1111/jels.12102
209,Issue Information - Copyright,,,08 February 2016,Journal of Empirical Legal Studies,"Volume 13, Issue 1", 3-3,https://onlinelibrary.wiley.com/doi/10.1111/jels.12103
210,The Consequences of Being an Object of Suspicion: Potential Pitfalls of Proactive Police Contact,"Tom R. Tyler, Jonathan Jackson, Avital Mentovich","During the latter half of the 20th century U.S. policing became more professional (Skogan & Frydl 2004) and the rate of violent crime declined dramatically (Blumstein & Wallman 2000). Yet public trust and confidence in the police increased at best marginally and there has been a large and continuing racial gap in police legitimacy. This article reviews changes in police policy and practice to explore the reasons for this seeming paradox. It is argued that a new model of proactive police stops has increased both the frequency and the range of police contact with people in the community. Such police contact does not inherently undermine public trust in the police, but the style of such contact, which involves the police communicating suspicion of ongoing or future criminal conduct and seeking to prevent it via the threat or use of coercion, has not increased trust. This article examines how such policies developed and why they are problematic. The result of a survey of Americans shows that perceived suspicion damages the social bonds between the police and the community and undermines trust in the police. The article concludes by arguing that police contact need not be inherently negative and contact during which the police use fair procedures can addresses issues of crime and disorder while building trust and confidence.",27 October 2015,Journal of Empirical Legal Studies,"Volume 12, Issue 4", 602-636,https://onlinelibrary.wiley.com/doi/10.1111/jels.12086
211,Leases and Executory Contracts in Chapter 11,Kenneth Ayotte,"This article offers the first empirical analysis of the timing and disposition decisions large Chapter 11 debtors make with respect to their leases and other bilateral (“executory”) contracts in bankruptcy, with an emphasis on commercial real estate leases. Section 365, which governs these contracts, allows debtors to choose whether to keep (“assume”), abandon (“reject”), or transfer (“assign”) their contracts, with time limits provided by the Bankruptcy Code. The main goal of the article is to analyze a controversial change to the Code in 2005 (BAPCPA) that shortens the time to expiration of a debtor's option to reject, requiring tenant-debtors to make decisions on their real estate leases within seven months unless a landlord grants an extension. I find that the seven-month limit strongly accelerated real estate lease disposition decisions, suggesting that bankruptcy bargaining is far from a frictionless, Coasean world. Further, I find that BAPCPA is associated with a significantly lower probability of reorganization for the most lease-intensive firms. I also test a simple theory of real options, and I find that debtors do not behave as the simple theory suggests. In particular, many executory contracts are assumed before expiration. I present suggestive evidence of implicit contracting motives: debtors often assume early in order to secure performance from their counterparties that cannot be guaranteed by the contract alone.",27 October 2015,Journal of Empirical Legal Studies,"Volume 12, Issue 4", 637-663,https://onlinelibrary.wiley.com/doi/10.1111/jels.12087
212,Interparty Judicial Appointments,Jonathan Remy Nash,"Empirical studies of judges’ ideological voting call for a theory according to which the ideology of the judges can be measured. This article calls into question the assumption that undergirds the measure that currently dominates the legal, economic, and political science literature—the assumption that the ideology of a lower federal court judge is largely predicted by the ideologies of the nominating president and the relevant state's senators who are of the same political party as the president. The article relies on a natural experiment to examine this question empirically. Between 1977 and 1998, New York was represented in the Senate by one Democrat and one Republican who had an agreement to divide appointments to the district courts in the state: the senator who shared party affiliation with the president would be allocated three of every four appointments, while the “out-of-party” senator would be allocated the rest. The article employs a novel data set—consisting of all federal district judges appointed to the federal bench in New York during the time period in question, and the senator who recommended each nominee to the nominating president. If the dominant theory—that the party of the recommending senator affects judicial decision making—holds, then one would expect the theory's explanatory power to be at its apex where senators of different parties recommend judges at the same time to the same president. Yet, using median prison sentence length as a proxy for ideology in decision making, the empirical analysis finds no evidence that senatorial ideology has a statistically significant effect on district judge decision making. At the same time, it finds that, indeed, the nominating president's ideology does have a statistically significant effect. The findings are instead consistent with the minority view of lower federal court judges’ ideological leanings—that a lower federal court judge's ideology is in large part a function solely of the nominating president's ideology.",27 October 2015,Journal of Empirical Legal Studies,"Volume 12, Issue 4", 664-685,https://onlinelibrary.wiley.com/doi/10.1111/jels.12088
213,Inside the Caucus: An Empirical Analysis of Mediation from Within,"Daniel Klerman, Lisa Klerman","This article provides a glimpse into the worlds of mediation and settlement negotiation. Because they are almost always private, there has been relatively little empirical analysis of the dynamics of settlement or mediation. This article analyzes a unique data set derived from a mediator's contemporaneous notes of mediations involving employment disputes, such as claims of discrimination or wrongful termination. Although the data set includes more than 400 cases, since they were all mediated by a single mediator, this article can be viewed as a case study. Among the most interesting facts uncovered by this analysis are the following. Mediation can be extremely effective in facilitating settlement. The mediator studied here achieved a settlement rate of over 94 percent. There are very few gender differences, whether one looks at the gender of the plaintiff or the gender of the lawyers. For example, settlement rates are the same for male and female plaintiffs and lawyers. On average, cases settle much closer to the defendant's first offer than the plaintiff's, irrespective of case type, size of law firm, or other factors. A mediator's proposal appears to be the most effective mediation technique. A mediator's proposal was used in almost 90 percent of cases and, when it was used, the settlement rate was over 99 percent.",27 October 2015,Journal of Empirical Legal Studies,"Volume 12, Issue 4", 686-715,https://onlinelibrary.wiley.com/doi/10.1111/jels.12089
214,Does Juvenile Delinquency Reduce Educational Attainment?,"Shannon Ward, Jenny Williams","This article investigates the effect of delinquency in youth on subsequent educational attainment. To do so, we focus on delinquent acts committed by age 16 and examine their impact on two measures of educational attainment: high school graduation and college graduation. Using information on males from the extremely rich National Longitudinal Survey of Youth 1997, we find plausible evidence that delinquency by age 16 reduces the likelihood of graduating from high school and college. This effect is driven by early initiators, those who offend intensely, and by those whose delinquent activities involve income-generating acts. Importantly, the impact of delinquency on education is not confined to those who have interaction with the criminal justice system, or gang members. Further analysis suggests that a channel through which delinquency impacts education is expected returns to crime, as reflected by subjective beliefs about the probability of arrest for a property crime.",27 October 2015,Journal of Empirical Legal Studies,"Volume 12, Issue 4", 716-756,https://onlinelibrary.wiley.com/doi/10.1111/jels.12090
